Thị giác tác phẩm,Đánh giá,Thế giới,Huyền huyễn,Bối cảnh,Lĩnh vực,Thời không,Bàn tay vàng,NV vào vai,Nhân thiết,Phong cách,Xu hướng,Mối quan hệ,Couple,Giới tính
Ngôi thứ nhất,Kim Bảng 🏆,Hồng hoang,Tây huyễn,Đô thị tình duyên,Khoa cử,Thai xuyên,Không hệ thống,Nhân vật thức tỉnh,Thiên chi kiêu tử,Chủ cốt truyện,Phản sát hệ thống,Ăn nhờ ở đậu,Tra công tiện thụ,ABO
Ngôi thứ ba,Kim bài đề cử 🥇,Dị thế,Linh khí sống lại,Hào môn thế gia,Làm giàu,Thân xuyên,Không bàn tay vàng,Cường giả trở về,Chức nghiệp tinh anh,Thuần thịt,Phản kịch bản,Thanh mai trúc mã,Tra công tra thụ,EABO
Diễn đàn thể,Ngân bài đề cử 🥈,Thú nhân,Linh dị thần quái,Cung đình hầu tước,Mỹ thực,Xuyên việt,Hệ thống,Phản phái trọng sinh,Ăn chơi trác táng,Ngọt sủng,Phản bàn tay vàng,Hoan hỉ oan gia,Tra công,A x A
Đối thoại thể,,Tinh tế,Quy tắc quái đàm,Tam giáo cửu lưu,Cơ giáp,Xuyên thư,Song hệ thống,Phản phái xuyên việt,Văn nhã bại hoại,Nhẹ nhàng,Phản anh hùng,Song hướng yêu thầm,Tra thụ,B x B
Đa thị giác,,Nam nam thế giới,Tu chân,Hắc bang,Đổ thạch,Xuyên game,Thương thành,Vai phụ trọng sinh,Trạch nam,Ấm áp,Báo thù,Đơn hướng yêu thầm,Tiện công,O x O
Song thị giác,,Thế giới song song,Ma pháp,Quân giáo,Phong thủy,Xuyên nhanh,Rút thăm trúng thưởng,Vai phụ xuyên việt,Tiểu nhân vật,Chữa lành,Ngược tra,Nhất kiến chung tình,Tiện thụ,E x A
Chủ công,,Nguyên thủy,Đấu khí,Vườn trường,Trộm mộ,Xuyên chậm,Tùy thân không gian,Hoàng đế xuyên việt,Phổ nam,Hài hước,Cung đấu,Tình hữu độc chung,Nhược công,E x B
Chủ thụ,,Cyberpunk,Tiến hóa,Chức trường,Giám bảo,Cổ xuyên kim,Linh tuyền,Xuyên thành vai chính,Long Ngạo Thiên,Nhiệt huyết,Trạch đấu,Mất mà tìm lại,Nhược thụ,E x O
,,Steampunk,Dị năng,Giang hồ ân oán,Phá án,Cổ đại xuyên tươg lai,Tool mô phỏng,Xuyên thành vai ác,Mary Sue,Hằng ngày,Quyền mưu,Gương vỡ lại lành,Mỹ công,A x B
,,Trò chơi xâm lấn,Vu cổ,Phương Tây,Y thuật,Tương lai xuyên hiện đại,Hợp thành,Main là động vật,Jack Sue,Chậm nhiệt,Cải trang giả dạng,Gương vỡ không lành,Mỹ thụ,A x O
,,,Thần tiên yêu quái,Niên đại văn,Giới giải trí,Tương lai xuyên cổ đại,App,Main là thực vật,Vạn nhân mê,Tế thuỷ trường lưu,Bình bộ thanh vân,Cưới trước yêu sau,Sửu công,B x A
,,,Vampire,Truyện cổ tích,Giới giải trí Nhật,Song xuyên,Group chat,Main là đồ vật,Vạn người ngại,Bình dân sinh hoạt,Trưởng thành,Bầu trước yêu sau,Sửu thụ,B x O
,,,Thần thoại,Tĩnh Khang chi sỉ,Giới giải trí Hàn,Xuyên về thế giới cũ,Thể chất may mắn,Main là hệ thống,Pháo hôi,Thời xưa phong,Dốc lòng,Khế ước tình nhân,Tráng công,O x A
,,,Cthulhu,Thiên tai,Giới giải trí Mỹ,Trọng sinh,Thấu thị,Thật giả thiếu gia,Người qua đường,Lôi,Nghịch tập,Từ giả thành thật,Tráng thụ,O x B
,,,,Đệ tứ thiên tai,Võng phối,Song trọng sinh,Thôi miên,Trùm cuối,Mỹ cường thảm,Tam quan bất chính,Vả mặt,Kiếp trước kiếp này,Có phản công,Thú x Người
,,,,Lưu đày,Phát sóng trực tiếp,Chết đi sống lại,Đọc tâm,Thánh tử,Bạch nguyệt quang,Sang phi tất cả,Vô hạn lưu,Cận thủy lâu đài,Hỗ công,Công sinh con
,,,,Chạy nạn,Võng hồng,Hoán đổi linh hồn,Ngôn linh,Nam phụ,Đoàn sủng,Cẩu huyết,Thăng cấp lưu,Lâu ngày sinh tình,Hỗ thụ,Sinh con
,,,,Lịch sử,Viết văn,Qua lại thời không,Đánh dấu,Nữ trang đại lão,Manh bảo,Văn nghệ,Vô địch lưu,Lâu ngày gặp lại,Tự công tự thụ,Song tính
,,,,Lịch sử giả tưởng ,Chế tác,Vị diện,Vô hiệu hóa,Nam giả nữ trang,Manh sủng,Chính kịch,Phế sài lưu,Duyên trời tác hợp,Nữ vương thụ,Đơn tính
,,,,Hồng Kông,Võng du,Thời Xuân Thu,Tiên tri,Chim hoàng yến,Mỹ nhân,Hiện thực,Kỹ thuật lưu,Trâu già gặm cỏ non,Tổng tài thụ,Song JJ
,,,,Học viện quý tộc,Trò chơi,Thời Chiến Quốc,Ngộ tính,Tiểu tam,Bệnh mỹ nhân,Ngược luyến,Phàm nhân lưu,Tương ái tương sát,Kim chủ thụ,Sản nhũ
,,,,,Thẻ bài,,Làn đạn,Kim chủ,Học bá,Hắc ám,Cao nhân lưu,Chế phục tình duyên,Nam sủng công,Lính gác dẫn đường
,,,,,Ngự thú,,Nghe hiểu động vật,Con nuôi,Giáo bá,Sảng văn,Sáng thế lưu,Cường thủ hào đoạt,Chim hoàng yến công,Fork&Cake
,,,,,Thực tế ảo,,Nghe hiểu thực vật,Song sinh,Giáo thảo,Đoản văn,Cứu thế lưu,Cưỡng chế ái,Sư tôn công,Xúc tu
,,,,,Lữ hành,,Duy ngã độc pháp,Giáo viên,Thiên tài,Quân văn,Hắc thủ lưu,Cầm tù,Niên thượng,Trùng tộc
,,,,,Mạo hiểm,,,Họa sĩ,Đại lão,Tiểu bạch văn,Áo choàng lưu,Bao dưỡng,Niên hạ,
,,,,,Dưỡng oa,,,Thợ code,Cuốn vương,Thanh thủy văn,Đoàn đội lưu,Dạy dỗ,Cường cường,
,,,,,Tổng nghệ,,,Tác giả,Luyến ái não,Đơn nguyên văn,Toàn dân lưu,Từ hôn,Mỹ cường,
,,,,,Oa tổng,,,Điệp viên,Sự nghiệp não,Quốc lộ văn,Triệu hoán lưu,Tái hôn,Cường nhược,
,,,,,Luyến tổng,,,Đặc công,Ngốc manh,Ăn dưa văn,Thần hào lưu,Liên hôn,Nhược cường,
,,,,,Giới thời trang,,,Bộ đội đặc chủng,Ngây thơ,Quần tượng văn,Công lược nhiệm vụ,Thế gả,Nhược nhược,
,,,,,Giải mã,,,Pháp y,Ngu ngốc,Mua cổ văn,Hoa Hạ cực đoan,Thế thân,Nữ cường,
,,,,,Nghiên cứu khoa học,,,Quản gia,Tự ti,Otome,,Song thế thân,1v1,
,,,,,Thể thao,,,Tông chủ,Kiều khí,,,Dưỡng thành,Nhiều CP,
,,,,,Thi đấu cạnh kỹ,,,Đế vương,Nhu nhược,,,Cứu rỗi,NP,
,,,,,Cổ võ,,,Hoàng tử,Nương pháo,,,Khuê mật,Loạn luân,
,,,,,,,,Quyền thần,Thánh mẫu,,,Tình bạn,Phụ tử,
,,,,,,,,Lĩnh chủ,Độc miệng,,,Tình thân,Huynh đệ,
,,,,,,,,Gia chủ,Ác độc,,,Tình địch,Thúc chất,
,,,,,,,,Nam sủng,Giả heo ăn hổ,,,Đối thủ sống còn,Kế phụ,
,,,,,,,,Xướng kỹ,Bạch thiết hắc,,,Mang bầu chạy,Sư đồ,
,,,,,,,,Thái y,Thiên nhiên hắc,,,Mang bầu không chạy,Chủ phó,
,,,,,,,,Ngỗ tác,Phúc hắc,,,Hỏa táng tràng,Song khiết 🕊️,
,,,,,,,,Đạo tặc,Cơ trí,,,Tu la tràng,Phi song khiết 🌂,
,,,,,,,,Sát thủ,Lưu manh,,,Bạn cùng phòng,NP toàn khiết 🕊️,
,,,,,,,,Hòa thượng,Khốc ca,,,Cấp trên cấp dưới,Thụ cao hơn công,
,,,,,,,,Thái giám thật,Mặt dày,,,Hạ khắc thượng,Thụ tráng hơn công,
,,,,,,,,Thái giám giả,Tham ăn,,,Cong bẻ thẳng,Công ysl,
,,,,,,,,Mỹ nhân ngư,Tham tài,,,Thẳng bẻ cong,Công dưa ko khiết,
,,,,,,,,Tang thi,Bình tĩnh,,,Pháo hữu,Công cúc ko khiết,
,,,,,,,,Mị ma,Phật hệ,,,SM,Thụ dưa ko khiết,
,,,,,,,,Tinh linh,Cá mặn,,,NTR,Thụ cúc ko khiết,
,,,,,,,,Ma quỷ,Bình phàm,,,PUA,Giẻ lau,
,,,,,,,,Thần minh,Ôn nhu,,,PTSD,Đổi người yêu,
,,,,,,,,Dũng giả,Dương quang,,,,Đổi công,
,,,,,,,,Phi nhân loại,Nhiệt liệt,,,,Đổi thụ,
,,,,,,,,Giả tưởng sinh vật,Sa điêu,,,,Thụ chuyển công,
,,,,,,,,Ngoại tinh sinh vật,Trung nhị,,,,Công chuyển thụ,
,,,,,,,,Ô nhiễm vật,Cố chấp,,,,Song chết,
,,,,,,,,Chủ bá,Điên phê,,,,,
,,,,,,,,Người chơi,Hắc hóa,,,,,
,,,,,,,,Dân bản xứ,Bệnh kiều,,,,,
,,,,,,,,NPC,Ngạo kiều,,,,,
,,,,,,,,Nhân vật 2D,Biệt nữu,,,,,
,,,,,,,,Nhân vật thức tỉnh,Trung khuyển,,,,,
,,,,,,,,,Chó săn,,,,,
,,,,,,,,,Liếm cẩu,,,,,
,,,,,,,,,Muộn tao,,,,,
,,,,,,,,,Tâm cơ,,,,,
,,,,,,,,,Cực phẩm,,,,,
,,,,,,,,,Trà xanh,,,,,
,,,,,,,,,Bạch liên hoa,,,,,
,,,,,,,,,Hắc liên hoa,,,,,
,,,,,,,,,Thố ti hoa,,,,,
,,,,,,,,,Cấm dục,,,,,
,,,,,,,,,Thanh lãnh,,,,,
,,,,,,,,,Cao lãnh chi hoa,,,,,
,,,,,,,,,Băng sơn,,,,,
,,,,,,,,,Si tình,,,,,
,,,,,,,,,Vô tình,,,,,
,,,,,,,,,Phong lưu,,,,,
,,,,,,,,,Hải vương,,,,,
,,,,,,,,,Ngựa giống,,,,,
,,,,,,,,,Dấm vương,,,,,
,,,,,,,,,Chiếm hữu dục,,,,,
,,,,,,,,,Biến thái,,,,,
,,,,,,,,,Si hán,,,,,
,,,,,,,,,Tháo hán,,,,,
,,,,,,,,,Nhân phu,,,,,
,,,,,,,,,Nhân thê,,,,,
,,,,,,,,,Nam mụ mụ,,,,,
,,,,,,,,,Tàn tật,,,,,
,,,,,,,,,Khuyết tật,,,,,
,,,,,,,,,Cắt miếng,,,,,
,,,,,,,,,Đa nhân cách,,,,,
,,,,,,,,,Mất trí nhớ,,,,,
,,,,,,,,,OOC,,,,,
